object,max_dim,subsample_ratio,n_points,bottleneck,wasserstein,n_pers_points,max_persistence,time_s
circle,1,1.0,800,0.0,0.0,229.0,1.4845705851912498,3.5467792819999997
circle,1,0.5,400,0.02735120803117752,1.0729235400256454,80.0,1.4679191261529922,0.35776920899999975
circle,1,0.25,200,0.12081717699766159,1.4280136854879517,28.0,1.411916822195053,0.03543157400000041
circle,1,0.1,80,0.25216012448072433,1.6002315209860543,5.0,1.3204804956912994,0.0027700885000001563
disk,1,1.0,800,0.0,0.0,270.0,0.1046934500336647,0.18631891749999951
disk,1,0.5,400,0.0596221387386322,3.144853656084038,119.0,0.12359371781349182,0.042573105000000666
disk,1,0.25,200,0.07867471873760223,4.10749865620318,49.0,0.15734943747520447,0.008011033999999029
disk,1,0.1,80,0.09201639890670776,4.023504631345105,16.0,0.18403279781341553,0.0013843499999985909
torus,1,1.0,800,0.0,0.0,225.0,1.2919591069221497,0.5584411985000024
torus,1,0.5,400,0.3835376501083374,13.828119067481149,100.0,1.2350873351097107,0.09752778600000056
torus,1,0.25,200,0.474881649017334,21.47164881031484,59.0,1.0268193483352661,0.01227434549999984
torus,1,0.1,80,0.4793071150779724,20.44170707500854,27.0,0.9338786602020264,0.0017465024999978596
torus,2,1.0,800,0.0,0.0,69.0,0.683165431022644,29.573693974
torus,2,0.5,400,0.29481518268585205,2.188036242163122,44.0,0.4545731544494629,2.9510429349999967
torus,2,0.25,200,0.341582715511322,3.1966199999915306,27.0,0.19011831283569336,0.2787098775000061
torus,2,0.1,80,0.341582715511322,2.7665129783942373,8.0,0.15651655197143555,0.016485669499999744
sphere,1,1.0,800,0.0,0.0,260.0,0.20123162865638733,0.35222423199999753
sphere,1,0.5,400,0.14034080505371094,6.209426563604033,120.0,0.3075086772441864,0.09610404599999356
sphere,1,0.25,200,0.2047836184501648,8.87183775242568,55.0,0.4095672369003296,0.010488785000006828
sphere,1,0.1,80,0.2496858537197113,8.825590565404642,21.0,0.4993717074394226,0.0018940505000131225
sphere,2,1.0,800,0.0,0.0,7.0,1.0585377514362335,121.62761675400002
sphere,2,0.5,400,0.15640440583229065,0.20445361087966377,4.0,0.9434964656829834,10.411117041000011
sphere,2,0.25,200,0.32975640892982483,0.37348524753316387,2.0,0.8102800846099854,0.7061998930000186
sphere,2,0.1,80,0.5292688757181168,0.650877083440177,2.0,0.5305006504058838,0.02973764050000227
porous_block,1,1.0,800,0.0,0.0,362.0,0.26200510561466217,0.28201227049999034
porous_block,1,0.5,400,0.1067606508731842,9.530400721407855,170.0,0.2898257076740265,0.06915349049995712
porous_block,1,0.25,200,0.10087922215461731,12.179714154493706,83.0,0.20175844430923462,0.008890724499963198
porous_block,1,0.1,80,0.1772139072418213,12.843029806902077,24.0,0.3544278144836426,0.0015393605000326716
porous_block,2,1.0,800,0.0,0.0,67.0,0.19772469997406006,36.216691832499976
porous_block,2,0.5,400,0.09886234998703003,1.2234462623354485,32.0,0.1515623927116394,3.281103268499976
porous_block,2,0.25,200,0.09886234998703003,1.25868631390752,10.0,0.0689038634300232,0.3544522475000349
porous_block,2,0.1,80,0.09886234998703003,1.253313332029424,4.0,0.05611872673034668,0.01592793250000568
