signal,m,tau,avg_H1_loops
periodic,3,1,181.33
periodic,3,2,2.67
periodic,3,4,1.00
periodic,3,8,1.00
periodic,4,1,35.67
periodic,4,2,1.00
periodic,4,4,1.00
periodic,4,8,1.00
periodic,5,1,2.33
periodic,5,2,1.00
periodic,5,4,1.00
periodic,5,8,1.00
periodic,6,1,1.00
periodic,6,2,1.00
periodic,6,4,1.00
periodic,6,8,1.00
quasiperiodic,3,1,237.00
quasiperiodic,3,2,169.33
quasiperiodic,3,4,44.33
quasiperiodic,3,8,40.00
quasiperiodic,4,1,319.67
quasiperiodic,4,2,188.67
quasiperiodic,4,4,31.00
quasiperiodic,4,8,8.00
quasiperiodic,5,1,217.67
quasiperiodic,5,2,45.00
quasiperiodic,5,4,15.67
quasiperiodic,5,8,6.67
quasiperiodic,6,1,186.67
quasiperiodic,6,2,27.00
quasiperiodic,6,4,10.33
quasiperiodic,6,8,3.33
chaos_rossler,3,1,154.67
chaos_rossler,3,2,135.33
chaos_rossler,3,4,27.00
chaos_rossler,3,8,77.67
chaos_rossler,4,1,252.33
chaos_rossler,4,2,62.67
chaos_rossler,4,4,27.00
chaos_rossler,4,8,69.00
chaos_rossler,5,1,253.33
chaos_rossler,5,2,72.67
chaos_rossler,5,4,75.00
chaos_rossler,5,8,61.33
chaos_rossler,6,1,350.00
chaos_rossler,6,2,48.33
chaos_rossler,6,4,52.00
chaos_rossler,6,8,48.67
chaos_lorenz,3,1,101.67
chaos_lorenz,3,2,148.67
chaos_lorenz,3,4,126.67
chaos_lorenz,3,8,64.33
chaos_lorenz,4,1,133.33
chaos_lorenz,4,2,205.00
chaos_lorenz,4,4,151.00
chaos_lorenz,4,8,14.00
chaos_lorenz,5,1,220.00
chaos_lorenz,5,2,134.67
chaos_lorenz,5,4,70.67
chaos_lorenz,5,8,22.00
chaos_lorenz,6,1,258.00
chaos_lorenz,6,2,204.33
chaos_lorenz,6,4,59.33
chaos_lorenz,6,8,8.67
noise_white,3,1,237.00
noise_white,3,2,209.33
noise_white,3,4,218.67
noise_white,3,8,215.00
noise_white,4,1,307.67
noise_white,4,2,380.33
noise_white,4,4,339.67
noise_white,4,8,325.67
noise_white,5,1,531.33
noise_white,5,2,595.67
noise_white,5,4,553.00
noise_white,5,8,557.67
noise_white,6,1,648.67
noise_white,6,2,705.00
noise_white,6,4,609.67
noise_white,6,8,605.67
noise_ar1,3,1,190.33
noise_ar1,3,2,218.67
noise_ar1,3,4,235.00
noise_ar1,3,8,250.33
noise_ar1,4,1,318.67
noise_ar1,4,2,296.67
noise_ar1,4,4,377.00
noise_ar1,4,8,365.67
noise_ar1,5,1,320.67
noise_ar1,5,2,503.33
noise_ar1,5,4,459.67
noise_ar1,5,8,483.00
noise_ar1,6,1,576.00
noise_ar1,6,2,424.00
noise_ar1,6,4,627.00
noise_ar1,6,8,621.00
